PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,192856375,-78.263443,-3.708221,-135.991669,0.009843,0.009555,0.056523,0.000000,0.000000,0.000000
2,192873042,-78.255188,-3.690856,-135.959000,0.008296,0.006831,0.046397,0.209608,-0.051750,-0.046525
3,192889709,-78.250061,-3.673449,-135.945099,0.022423,0.010792,0.039250,0.148727,-0.057039,0.076665
4,192906376,-78.239120,-3.653668,-135.933365,-0.001840,-0.001237,0.038509,0.318372,0.025299,-0.046180
5,192923043,-78.232285,-3.644747,-135.925217,-0.002970,0.021902,0.049167,0.259642,-0.034987,0.001658
6,192939710,-78.229019,-3.636544,-135.917068,0.007691,0.012019,0.044928,0.417570,0.045943,-0.026202
7,192956377,-78.225273,-3.629215,-135.918564,-0.004954,0.002434,0.040025,0.395979,-0.018159,-0.023372
8,192973044,-78.220512,-3.624723,-135.917236,0.012463,-0.002211,0.038570,0.438163,0.002542,0.004706
9,192989711,-78.212784,-3.622208,-135.913269,0.009783,0.005494,0.059637,0.487403,-0.074943,-0.062175
10,193006378,-78.207047,-3.619609,-135.910614,0.010648,0.012114,0.051794,0.340604,-0.039559,-0.056566
11,193023045,-78.202171,-3.616215,-135.911179,0.008748,0.019590,0.038877,0.296691,-0.017084,-0.028417
12,193039712,-78.196495,-3.612561,-135.913574,0.001565,0.001849,0.031205,0.375822,0.016027,-0.038381
13,193056379,-78.188911,-3.611049,-135.909012,-0.001198,-0.006061,0.045820,0.478580,0.035326,-0.114604
14,193073046,-78.180374,-3.608607,-135.909180,-0.010403,0.016834,0.044992,0.523479,-0.022411,0.019523
15,193089713,-78.172035,-3.606811,-135.908752,-0.011742,0.000625,0.044088,0.556058,0.051475,-0.015918
16,193106380,-78.160522,-3.606953,-135.907410,0.003833,0.008386,0.046666,0.753071,0.027911,-0.086661
17,193123047,-78.152832,-3.604698,-135.903442,-0.003062,-0.008146,0.046709,0.522646,-0.022309,0.068405
18,193139714,-78.151520,-3.604906,-135.902771,-0.002394,-0.011630,0.036848,0.123050,-0.060689,-0.046756
19,193156381,-78.151711,-3.605677,-135.895996,-0.018705,0.015819,0.059882,0.013543,-0.033220,-0.062149
20,193173048,-78.148827,-3.606027,-135.895447,-0.001175,0.010928,0.038188,0.226602,-0.029916,-0.030159
21,193189715,-78.139984,-3.605855,-135.898270,-0.010608,0.014009,0.038815,0.583502,0.054958,-0.022219
22,193206382,-78.129364,-3.605968,-135.894394,-0.009731,0.020425,0.047743,0.707736,-0.062175,-0.014855
23,193223049,-78.121704,-3.605479,-135.889572,0.006664,0.010752,0.057258,0.539102,0.003823,0.003374
24,193239716,-78.119675,-3.605563,-135.881378,-0.003085,-0.000887,0.048847,0.191730,0.011494,-0.041083
25,193256383,-78.120003,-3.606488,-135.879959,-0.014917,0.013549,0.053741,0.048389,-0.098071,-0.063187
